<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TIME>,<TSEClose>,<MarketValue>,<ShareCount>,,<OPENMarketValue>,<HIGHMarketValue>,<LOWMarketValue>,<CloseMarketValue>,<TseCloseMarketValue>,TradedOfTotalMarket
ABAD,d,20070715,0,798,806,798,806,67010,181251735,20,814,آباد,13860424,0,806,1.21E+11,150000000,,1.197E+11,1.209E+11,1.197E+11,1.209E+11,1.209E+11,5.777
ABAD,d,20070716,0,790,806,790,790,258056,689585804,61,806,آباد,13860425,0,790,1.19E+11,150000000,,1.185E+11,1.209E+11,1.185E+11,1.185E+11,1.185E+11,5.779
ABAD,d,20070717,0,806,806,790,806,492308,1327184992,35,790,آباد,13860426,0,806,1.21E+11,150000000,,1.209E+11,1.209E+11,1.185E+11,1.209E+11,1.209E+11,5.782
ABAD,d,20070718,0,822,822,807,815,143713,396147629,35,806,آباد,13860427,0,815,1.22E+11,150000000,,1.233E+11,1.233E+11,1.2105E+11,1.2225E+11,1.2225E+11,5.783
ABAD,d,20070722,0,815,815,802,811,227381,619439450,9,815,آباد,13860431,0,811,1.22E+11,150000000,,1.2225E+11,1.2225E+11,1.203E+11,1.2165E+11,1.2165E+11,5.785
ABAD,d,20070723,0,795,811,795,810,20643,56178757,6,811,آباد,13860501,0,810,1.22E+11,150000000,,1.1925E+11,1.2165E+11,1.1925E+11,1.215E+11,1.215E+11,5.785
ABAD,d,20070725,0,799,806,794,806,30190,81033240,5,810,آباد,13860503,0,806,1.21E+11,150000000,,1.1985E+11,1.209E+11,1.191E+11,1.209E+11,1.209E+11,5.785
ABAD,d,20070729,0,790,796,790,795,227010,609856860,21,806,آباد,13860507,0,795,1.19E+11,150000000,,1.185E+11,1.194E+11,1.185E+11,1.1925E+11,1.1925E+11,5.786
ABAD,d,20070730,0,795,795,779,794,5301,14045088,7,795,آباد,13860508,0,794,1.19E+11,150000000,,1.1925E+11,1.1925E+11,1.1685E+11,1.191E+11,1.191E+11,5.786
ABAD,d,20070731,0,795,810,793,798,113659,306625908,28,794,آباد,13860509,0,798,1.20E+11,150000000,,1.1925E+11,1.215E+11,1.1895E+11,1.197E+11,1.197E+11,5.787
ABAD,d,20070801,0,813,813,799,813,538922,1481467364,43,798,آباد,13860510,0,813,1.22E+11,150000000,,1.2195E+11,1.2195E+11,1.1985E+11,1.2195E+11,1.2195E+11,5.791
ABAD,d,20070804,0,814,829,814,828,229941,643980087,42,813,آباد,13860513,0,828,1.24E+11,150000000,,1.221E+11,1.2435E+11,1.221E+11,1.242E+11,1.242E+11,5.792
ABAD,d,20070805,0,828,845,828,831,20110,57312682,12,828,آباد,13860514,0,831,1.25E+11,150000000,,1.242E+11,1.2675E+11,1.242E+11,1.2465E+11,1.2465E+11,5.793
ABAD,d,20070806,0,831,831,831,831,976410,2742732857,11,831,آباد,13860515,0,831,1.25E+11,150000000,,1.2465E+11,1.2465E+11,1.2465E+11,1.2465E+11,1.2465E+11,5.799
